               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.028986,            0.015075,           0.0038668,             0.80145,             0.88631,              0.8795,             0.46023,            0.013339,           0.0044904,          0.00086556,           0.0079509,           0.0079509,            0.018051
                  36,             0.02599,            0.014708,           0.0038203,             0.63162,             0.66181,             0.78124,             0.42416,            0.014734,           0.0043204,           0.0044813,           0.0081131,           0.0081131,            0.015713
                  37,            0.025248,            0.014243,           0.0037938,              0.5563,               0.905,             0.79701,             0.39204,            0.013654,           0.0058659,           0.0012526,           0.0082707,           0.0082707,            0.013371
                  38,            0.028054,            0.014589,           0.0035984,             0.83862,               0.915,             0.90475,             0.48378,            0.012806,           0.0042541,          0.00040657,           0.0084236,           0.0084236,            0.011024
                  39,            0.026465,            0.014242,           0.0032939,             0.92758,             0.93758,             0.91375,             0.54044,            0.013146,           0.0038377,          0.00037872,           0.0085719,           0.0085719,           0.0086719
                  40,            0.027708,            0.014658,           0.0043261,             0.96623,             0.89222,             0.96024,             0.59125,            0.011344,           0.0045372,          0.00034546,           0.0085111,           0.0085111,           0.0085111
                  41,            0.025795,            0.014191,           0.0029456,             0.93299,                0.91,             0.90356,              0.5434,            0.011892,           0.0042396,           0.0002915,           0.0085111,           0.0085111,           0.0085111
                  42,            0.029329,            0.015301,           0.0046398,             0.48255,             0.73483,             0.73589,             0.40039,            0.015401,           0.0041565,            0.003241,           0.0084404,           0.0084404,           0.0084404
                  43,            0.027468,            0.013934,           0.0022831,             0.98969,             0.47029,             0.63472,             0.35494,             0.01674,           0.0043369,            0.010661,           0.0083684,           0.0083684,           0.0083684
                  44,            0.025609,            0.013891,           0.0023887,             0.97524,             0.47515,             0.70157,             0.36963,            0.017318,           0.0039067,            0.012391,           0.0082952,           0.0082952,           0.0082952
                  45,            0.024603,            0.013342,           0.0018402,             0.90139,             0.88255,              0.8881,             0.40487,            0.016109,           0.0035281,          0.00073375,           0.0082207,           0.0082207,           0.0082207
                  46,             0.02548,            0.013769,            0.001788,             0.95791,             0.96259,             0.98031,             0.63155,            0.010298,            0.003112,          0.00044264,            0.008145,            0.008145,            0.008145
                  47,            0.023692,            0.013831,           0.0027044,             0.96405,              0.9526,             0.96338,             0.53861,            0.012616,           0.0029759,          0.00037233,           0.0080682,           0.0080682,           0.0080682
                  48,            0.023918,            0.013464,           0.0026197,             0.97744,             0.97893,             0.97261,              0.6068,            0.009829,           0.0032568,          0.00028778,           0.0079903,           0.0079903,           0.0079903
                  49,            0.021504,            0.014123,           0.0021046,             0.96819,             0.96252,             0.95071,             0.58781,           0.0099572,           0.0032733,          0.00041354,           0.0079112,           0.0079112,           0.0079112
                  50,              0.0257,            0.013501,           0.0062092,               0.722,               0.793,              0.8037,             0.22364,            0.021095,           0.0040831,           0.0047111,           0.0078311,           0.0078311,           0.0078311
                  51,             0.02287,             0.01459,           0.0022851,             0.89374,             0.85004,             0.90693,             0.46383,            0.014512,           0.0037938,           0.0016509,             0.00775,             0.00775,             0.00775
                  52,            0.022793,            0.013913,            0.002259,              0.9522,             0.94752,             0.97345,             0.55622,            0.013318,           0.0033256,          0.00058669,           0.0076679,           0.0076679,           0.0076679
                  53,            0.025237,            0.013692,           0.0028772,             0.96057,                0.98,             0.96346,             0.60422,            0.011064,           0.0032523,          0.00020509,           0.0075848,           0.0075848,           0.0075848
                  54,            0.024075,            0.013696,           0.0024386,             0.95599,              0.9675,             0.95709,             0.59359,            0.010825,            0.003301,           0.0001357,           0.0075009,           0.0075009,           0.0075009
                  55,            0.020764,            0.014346,           0.0013563,             0.96249,             0.96363,             0.94542,             0.58828,           0.0099692,           0.0030908,          0.00012235,            0.007416,            0.007416,            0.007416
                  56,            0.023111,            0.013529,           0.0017311,             0.97272,             0.97746,             0.97018,             0.60893,            0.010596,           0.0030138,            0.000244,           0.0073303,           0.0073303,           0.0073303
